Attack,Type,Category,Level,Casting Time,Mini description,Range,Duration,Description
Noble Roar,Normal,Status,Lv. 1,Action,Spell save,60 feet,Instantaneous,"You let out a noble roar expressing a one-word command to a pokémon you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. Choose the command from the following options. APPROACH: The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you. DROP: The target drops whatever it is holding and then ends its turn. FLEE: The target spends its turn moving away from you by the fastest available means. GROVEL: The target has the Prone condition and then ends its turn. HALT: On its turn, the target doesn’t move and takes no action or Bonus Action. You can affect one additional creature for each spell slot level above 1."
Rock Smash,Fighting,Physical,Str/Dex,Action,Melee weapon attack,5 feet,Instantaneous,"A rock-crushing attack. Make a melee attack that deals 1d6 fighting damage on hit. On hit, the target must make a Constitution saving throw. On a failed save, their AC is reduced by 1 for 10 minutes. "
Shock Wave,Electric,Special,Lv. 2,Action,Other,120 feet,Instantaneous,You strike with a quick jolt of electricity. The jolt strikes a creature of your choice that you can see within range and deals 4d6 Electric damage to its target. 
Sleep Powder,Grass,Status,Lv. 1,Action,Spell save,60 feet,Up to 1 minute,"Each creature of your choice in a 5-foot-radius Sphere centered on a point within range must succeed on a Wisdom saving throw or have the Incapacitated condition until the end of its next turn, at which point it must repeat the save. If the target fails the second save, the target has the Unconscious condition for the duration. The spell ends on a target if it takes damage or someone within 5 feet of it takes an action to shake it out of the spell’s effect. "
String Shot,Bug,Status,Lv. 2,Action,Spell save,60 feet,Up to 1 hour,"The user spits out strings of silk. The strings fill a 20-foot Cube there for the duration. The strings are Difficult Terrain, and the area within them is Lightly Obscured. If the strings aren’t anchored between two solid masses (such as walls or trees) or layered across a floor, wall, or ceiling, the strings collapse on themselves, and the spell ends at the start of your next turn. Strings layered over a flat surface have a depth of 5 feet. The first time a creature enters the strings on a turn or starts its turn there, it must succeed on a Dexterity saving throw or have the Restrained condition while in the strings or until it breaks free. A creature Restrained by the strings can take an action to make a Strength (Athletics) check against your spell save DC. If it succeeds, it is no longer Restrained.The strings are flammable. Any 5-foot Cube of strings exposed to fire burns away in 1 round, dealing 2d4 Fire damage to any creature that starts its turn in the fire."
Surf,Water,Special,Lv. 8,Action,Spell save,1 mile,"Concentration, up to 6 rounds","The user attacks by swamping a wide area with a giant wave that springs into existence at a point you choose within range. You can make the wall up to 300 feet long, 300 feet high, and 50 feet thick. The wall lasts for the duration. When the wall appears, each creature in its area makes a Strength saving throw, taking 6d10 water damage on a failed save or half as much damage on a successful one. At the start of each of your turns after the wall appears, the wall, along with any creatures in it, moves 50 feet away from you. Any Huge or smaller creature inside the wall or whose space the wall enters when it moves must succeed on a Strength saving throw or take 5d10 water damage. A creature can take this damage only once per round. At the end of the turn, the wall's height is reduced by 50 feet, and the damage the wall deals on later rounds is reduced by 1d10. When the wall reaches 0 feet in height, the spell ends. A creature caught in the wall can move by swimming. Because of the wave's force, though, the creature must succeed on a Strength (Athletics) check against your spell save DC to move at all. If it fails the check, it can't move. A creature that moves out of the wall falls to the ground."
Swift,Normal,Special,Lv. 1,Action,Other,120 feet,Instantaneous,"You create three star-shaped rays which are shot at opposing Pokémon. Each star strikes a creature of your choice that you can see within range. A star deals 1d4 + 1 Normal damage to its target. The stars all strike simultaneously, and you can direct them to hit one creature or several. The move creates one more dart for each spell slot level above 1."
Tackle,Normal,Physical,Str,Action,Melee weapon attack,5 feet,Instantaneous,"A physical attack in which the user charges and slams into the target with its whole body. Make a melee weapon attack against a target within range. On hit, the target takes 1d6 Normal damage. "
Teleport,Psychic,Status,Lv. 7,Action,Other,10 feet,Instantaneous,"This spell instantly transports you and up to eight willing creatures that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be Large or smaller, and it can’t be held or carried by an unwilling creature. The destination you choose must be known to you, and it must be on the same plane of existence as you. "
Thunder,Electric,Special,Lv. 6,Action,Spell save,150 feet,Instantaneous,"A wicked thunderbolt is dropped on a target you can see within range. Three bolts then leap from that target to as many as three other targets of your choice, each of which must be within 30 feet of the first target. A target can be a creature or an object and can be targeted by only one of the bolts. Each target makes a Dexterity saving throw, taking 10d8 Electric damage on a failed save or half as much damage on a successful one.One additional bolt leaps from the first target to another target for each spell slot level above 6."
Thunder Shock,Electric,Special,Cantrip,Action,Ranged spell attack,60 feet,Instantaneous,"The user attacks a target within range with a jolt of electricity. On a hit, the target takes 1d6 Electric damage, and it can’t make Opportunity Attacks until the start of its next turn. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8)."
Water Gun,Water,Special,Cantrip,Action,Ranged spell attack,120 feet,Instantaneous,"A target within range is blasted with a forceful shot of water.. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Water damage. Any fire within 5 feet of the target is doused. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10)."
Wish,Normal,Status,Lv. 9,Action,Other,Self,Instantaneous,"The basic use of this spell is to duplicate any other spell of level 8 or lower. If you use it this way, you don't need to meet any requirements to cast that spell, including costly components. The spell simply takes effect. Alternatively, you can create one of the following effects of your choice: (1) You create one object of up to 25,000 GP in value that isn't a magic item. The object can be no more than 300 feet in any dimension, and it appears in an unoccupied space that you can see on the ground. (2) You allow yourself and up to twenty creatures that you can see to regain all Hit Points, and you end all effects on them listed in the Greater Restoration spell. (3) You grant up to ten creatures that you can see Resistance to one damage type that you choose. This Resistance is permanent. (4) You grant up to ten creatures you can see immunity to a single spell or other magical effect for 8 hours. (5) You replace one of your feats with another feat for which you are eligible. You lose all the benefits of the old feat and gain the benefits of the new one. You can't replace a feat that is a prerequisite for any of your other feats or features. (6) You undo a single recent event by forcing a reroll of any die roll made within the last round (including your last turn). Reality reshapes itself to accommodate the new result. For example, a Wish spell could undo an ally’s failed saving throw or a foe's Critical Hit. You can force the reroll to be made with Advantage or Disadvantage, and you choose whether to use the reroll or the original roll. (7) You may wish for something not included in any of the other effects. To do so, state your wish to the DM as precisely as possible. The DM has great latitude in ruling what occurs in such an instance; the greater the wish, the greater the likelihood that something goes wrong. This spell might simply fail, the effect you desire might be achieved only in part, or you might suffer an unforeseen consequence as a result of how you worded the wish. For example, wishing that a villain were dead might propel you forward in time to a period when that villain is no longer alive, effectively removing you from the game. Similarly, wishing for a Legendary magic item or an Artifact might instantly transport you to the presence of the item’s current owner. If your wish is granted and its effects have consequences for a whole community, region, or world, you are likely to attract powerful foes. If your wish would affect a god, the god’s divine servants might instantly intervene to prevent it or to encourage you to craft the wish in a particular way. If your wish would undo the multiverse itself, threaten the City of Sigil, or affect the Lady of Pain in any way, you see an image of her in your mind for a moment; she shakes her head, and your wish fails. The stress of casting Wish to produce any effect other than duplicating another spell weakens you. After enduring that stress, each time you cast a spell until you finish a Long Rest, you take 1d10 flat damage per level of that spell. This damage can't be reduced or prevented in any way. In addition, your Strength score becomes 3 for 2d4 days. For each of those days that you spend resting and doing nothing more than light activity, your remaining recovery time decreases by 2 days. Finally, there is a 33 percent chance that you are unable to cast Wish ever again if you suffer this stress."
